0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:54 +0700] "POST /ASM_Java4/users/thanhtoan HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:54 +0700] "GET /ASM_Java4/users/formcart HTTP/1.1" 200 10967
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:56 +0700] "GET /ASM_Java4/users/history HTTP/1.1" 200 11682
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:09 +0700] "GET /ASM_Java4/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:09 +0700] "GET /ASM_Java4/users/index HTTP/1.1" 200 13393
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:09 +0700] "GET /ASM_Java4/Views/css/loading.gif HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:09 +0700] "GET /ASM_Java4/Views/images/l-r-arrows.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:11 +0700] "GET /ASM_Java4/login HTTP/1.1" 200 13067
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:14 +0700] "POST /ASM_Java4/checklogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:14 +0700] "GET /ASM_Java4/admin/users/index HTTP/1.1" 200 18181
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:14 +0700] "GET /ASM_Java4/admin/users/js/scripts.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:14 +0700] "GET /ASM_Java4/admin/users/assets/demo/chart-area-demo.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:14 +0700] "GET /ASM_Java4/admin/users/js/datatables-simple-demo.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:14 +0700] "GET /ASM_Java4/admin/users/assets/demo/chart-bar-demo.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:17 +0700] "GET /ASM_Java4/admin/orders/xacnhan HTTP/1.1" 200 8284
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:17 +0700] "GET /ASM_Java4/admin/orders/js/scripts.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:17 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-area-demo.js HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:17 +0700] "GET /ASM_Java4/admin/orders/assets/demo/chart-bar-demo.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:17 +0700] "GET /ASM_Java4/admin/orders/js/datatables-simple-demo.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:27 +0700] "GET /ASM_Java4/admin/orders/chitiet?id=3 HTTP/1.1" 200 9526
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:27 +0700] "GET /ASM_Java4/admin/orders/js/scripts.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:19:27 +0700] "GET /ASM_Java4/admin/orders/js/datatables-simple-demo.js HTTP/1.1" 404 818
